[2023-06-22 14:27:00,917: INFO: main: Custom logging]
[2023-06-26 13:27:37,040: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-06-26 13:27:37,046: INFO: common: yaml file: params.yaml loaded successfully]
[2023-06-26 13:27:37,050: INFO: common: created directory at: artifacts]
[2023-06-26 13:27:37,055: INFO: common: created directory at: artifacts/data_ingestion]
[2023-06-26 13:35:33,843: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-06-26 13:35:33,849: INFO: common: yaml file: params.yaml loaded successfully]
[2023-06-26 13:35:33,855: INFO: common: created directory at: artifacts]
[2023-06-26 13:35:33,859: INFO: common: created directory at: artifacts/data_ingestion]
[2023-06-26 13:36:40,093: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-06-26 13:36:40,098: INFO: common: yaml file: params.yaml loaded successfully]
[2023-06-26 13:36:40,102: INFO: common: created directory at: artifacts]
[2023-06-26 13:36:40,105: INFO: common: created directory at: artifacts/data_ingestion]
[2023-06-30 12:32:44,968: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-06-30 12:32:44,974: INFO: common: yaml file: params.yaml loaded successfully]
[2023-06-30 12:32:44,976: INFO: common: created directory at: artifacts]
[2023-06-30 12:32:44,980: INFO: common: created directory at: artifacts/data_ingestion]
[2023-06-30 12:42:49,711: INFO: common: yaml file: config\config.yaml loaded successfully]
[2023-06-30 12:42:49,714: INFO: common: yaml file: params.yaml loaded successfully]
[2023-06-30 12:42:49,717: INFO: common: created directory at: artifacts]
[2023-06-30 12:42:49,719: INFO: common: created directory at: artifacts/data_ingestion]
